actor_start_name,actor_start_url,actor_end_name,actor_end_url,distance
Adam Sandler,https://www.imdb.com/name/nm0001191/fullcredits,Akshay Kumar,https://www.imdb.com/name/nm0474774/fullcredits,-1.0
Adam Sandler,https://www.imdb.com/name/nm0001191/fullcredits,Bradley Cooper,https://www.imdb.com/name/nm0177896/fullcredits,3.0
Adam Sandler,https://www.imdb.com/name/nm0001191/fullcredits,Chris Evans,https://www.imdb.com/name/nm0262635/fullcredits,3.0
Adam Sandler,https://www.imdb.com/name/nm0001191/fullcredits,Chris Hemsworth,https://www.imdb.com/name/nm1165110/fullcredits,-1.0
Adam Sandler,https://www.imdb.com/name/nm0001191/fullcredits,Dwayne Johnson,https://www.imdb.com/name/nm0425005/fullcredits,3.0
Adam Sandler,https://www.imdb.com/name/nm0001191/fullcredits,Jackie Chan,https://www.imdb.com/name/nm0000329/fullcredits,3.0
Adam Sandler,https://www.imdb.com/name/nm0001191/fullcredits,Robert Downey Jr.,https://www.imdb.com/name/nm0000375/fullcredits,3.0
Adam Sandler,https://www.imdb.com/name/nm0001191/fullcredits,Scarlett Johansson,https://www.imdb.com/name/nm0424060/fullcredits,3.0
Adam Sandler,https://www.imdb.com/name/nm0001191/fullcredits,Sofia Vergara,https://www.imdb.com/name/nm0005527/fullcredits,-1.0
Akshay Kumar,https://www.imdb.com/name/nm0474774/fullcredits,Adam Sandler,https://www.imdb.com/name/nm0001191/fullcredits,-1.0
Akshay Kumar,https://www.imdb.com/name/nm0474774/fullcredits,Bradley Cooper,https://www.imdb.com/name/nm0177896/fullcredits,-1.0
Akshay Kumar,https://www.imdb.com/name/nm0474774/fullcredits,Chris Evans,https://www.imdb.com/name/nm0262635/fullcredits,-1.0
Akshay Kumar,https://www.imdb.com/name/nm0474774/fullcredits,Chris Hemsworth,https://www.imdb.com/name/nm1165110/fullcredits,-1.0
Akshay Kumar,https://www.imdb.com/name/nm0474774/fullcredits,Dwayne Johnson,https://www.imdb.com/name/nm0425005/fullcredits,-1.0
Akshay Kumar,https://www.imdb.com/name/nm0474774/fullcredits,Jackie Chan,https://www.imdb.com/name/nm0000329/fullcredits,-1.0
Akshay Kumar,https://www.imdb.com/name/nm0474774/fullcredits,Robert Downey Jr.,https://www.imdb.com/name/nm0000375/fullcredits,-1.0
